Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
(Circle Town County,Circle,MT)
(City of Colorado Springs Muni,Colorado Springs,CO)
(City of Tulia/Swisher County Municipal,Tulia,TX)
(City-County,Madras,OR)
(Clare Municipal,Clare,MI)
(Claremont Municipal,Claremont,NH)
(Claremore Regional,Claremore,OK)
(Clarence E. Page Municipal,Oklahoma City,OK)
(Clarendon County,Manning,SC)
(Clarendon Municipal,Clarendon,AR)
(Clarion Cty,Clarion,PA)
(Clarion Municipal,Clarion,IA)
(Clark County,Clark,SD)
(Clark County,Jeffersonville,IN)
(Clark Field Municipal,Stephenville,TX)
(Clarke County,Quitman,MS)
(Clarks Point,Clarks Point,AK)
(Clarksville Municipal,Clarksville,AR)
(Clarksville-Red River County,Clarksville,TX)
(Claxton-Evans County,Claxton,GA)
(Clay Center Municipal,Clay Center,KS)
(Clay County Regional,Mosby,MO)
(Clayton County,Hampton,GA)
(Clayton Municipal,Clayton,AL)
(Clayton Municipal Airpark,Clayton,NM)
(Cle Elum Municipal,Cle Elum,WA)
(Clear,Clear A.F.B.,AK)
(Clearfield-Lawrence,Clearfield,PA)
(Clearwater Air Park,Clearwater,FL)
(Cleburne Municipal,Cleburne,TX)
(Clermont County,Batavia,OH)
(Cleveland Municipal,Cleveland,MS)
(Cleveland Municipal,Cleveland,OK)
(Cleveland Municipal,Cleveland,TX)
(Cleveland-Hopkins Intl,Cleveland,OH)
(Clifton Municipal,Clifton,TX)
(Clinton ,Wilmington,OH)
(Clinton Cty,Plattsburgh,NY)
(Clinton Memorial,Clinton,MO)
(Clinton Municipal,Clinton,AR)
(Clinton Municipal,Clinton,IA)
(Clinton Municipal,Clinton,OK)
(Clinton-Sherman,Clinton,OK)
(Clintonville Municipal,Clintonville,WI)
(Cloquet-Carlton County,Cloquet,MN)
(Clover ,Houston,TX)
(Cloverdale Municipal,Cloverdale,CA)
(Clovis Municipal,Clovis,NM)
(Clow,Chicago/Plainfield,IL)
(Cobb County-McCollum ,Marietta,GA)
(Cochise County,Willcox,AZ)
(Cochran,Cochran,GA)
(Coeur D'Alene Air Terminal,Coeur D'Alene,ID)
(Coffey County,Burlington,KS)
(Coffeyville Municipal,Coffeyville,KS)
(Coffman Cove SPB,Coffman Cove,AK)
(Col. Dyke ,Bethel,ME)
(Cold Bay,Cold Bay,AK)
(Coldfoot,Coldfoot,AK)
(Coleman Municipal,Coleman,TX)
(Coles County Memorial,Mattoon-Charleston,IL)
(College Park,College Park,MD)
(Colonel James Jabara,Wichita,KS)
(Colorado City Municipal,Colorado City,AZ)
(Colstrip,Colstrip,MT)
(Columbia,Columbia,CA)
(Columbia Cty,Hudson,NY)
(Columbia Gorge Regional,The Dalles,OR)
(Columbia Metropolitan,Columbia,SC)
(Columbia Owens Downtown,Columbia,SC)
(Columbia Regional,Columbia,MO)
(Columbia-Marion County,Columbia,MS)
(Columbiana County,East Liverpool,OH)
(Columbus,Columbus,MT)
(Columbus County Municipal,Whiteville,NC)
(Columbus Metropolitan,Columbus,GA)
(Columbus Municipal,Columbus,IN)
(Columbus Municipal,Columbus,NE)
(Columbus-Lowndes County,Columbus,MS)
(Colusa County,Colusa,CA)
(Colville Municipal,Colville,WA)
(Comanche County-City,Comanche,TX)
(Commerce Municipal,Commerce,TX)
(Compton/Woodley,Compton,CA)
(Conchas State Park,Conchas Dam,NM)
(Concord Municipal,Concord,NH)
(Concord Regional,Concord,NC)
(Concordia Parish,Vidalia,LA)
(Condon State-Pauling ,Condon,OR)
(Connellsville,Connellsville,PA)
(Conrad,Conrad,MT)
(Converse County,Douglas,WY)
(Conway-Horry County,Conway,SC)
(Cook County,Adel,GA)
(Coolidge Municipal,Coolidge,AZ)
(Cooperstown Municipal,Cooperstown,ND)
(Copiah County,Crystal Springs,MS)
(Corcoran,Corcoran,CA)
(Cordell Municipal,Cordell,OK)
(Cordova Muni,Cordova,AK)
(Cornelius-Moore ,Cedartown,GA)
(Corning Municipal,Corning,AR)
(Corning Municipal,Corning,CA)
(Corning-Painted Post,Corning,NY)
(Corona Municipal,Corona,CA)
(Corporate,Pelion,SC)
(Corpus Christi International,Corpus Christi,TX)
(Cortez Muni,Cortez,CO)
(Cortland Cty-Chase ,Cortland,NY)
(Corvallis Muni,Corvallis,OR)
(Cottage Grove State,Cottage Grove,OR)
(Cottonwood,Cottonwood,AZ)
(Cotulla-Lasalle County,Cotulla,TX)
(Coulter ,Bryan,TX)
(Council,Council,AK)
(Council Bluffs Municipal,Council Bluffs,IA)
(Council Municipal,Council,ID)
(County Memorial,New Madrid,MO)
(Covington Municipal,Covington,GA)
(Covington Municipal,Covington,TN)
(Cox ,Paris,TX)
(Cozad Municipal,Cozad,NE)
(Craig ,Selma,AL)
(Craig Municipal,Jacksonville,FL)
(Craig SPB,Craig,AK)
(Craig-Moffat,Craig,CO)
(Craigmont Municipal,Craigmont,ID)
(Cram ,Burwell,NE)
(Crandon Municipal,Crandon,WI)
(Craven County Regional,New Bern,NC)
(Crawfordsville Municipal,Crawfordsville,IN)
(Creighton Municipal,Creighton,NE)
(Creston Municipal,Creston,IA)
(Crete Municipal,Crete,NE)
(Creve Coeur,St Louis,MO)
(Crisfield Municipal,Crisfield,MD)
(Crisp County - Cordele,Cordele,GA)
(Crockett-Houston County,Crockett,TX)
(Crooked Creek,Crooked Creek,AK)
(Crookston Muni Kirkwood ,Crookston,MN)
(Crosby Municipal,Crosby,MS)
(Crosby Municipal,Crosby,ND)
(Cross City ,Cross City,FL)
(Cross Keys,Cross Keys,NJ)
(Crossett Municipal,Crossett,AR)
(Crosson ,Sterling,CO)
(Crossville Memorial,Crossville,TN)
(Crownpoint,Crownpoint,NM)
(Cruz Bay Harbor Seaplane Base,Cruz Bay,VI)
(Crystal,Minneapolis,MN)
(Crystal River,Crystal River,FL)
(Cuba Municipal,Cuba,MO)
(Cuero Municipal,Cuero,TX)
(Culberson County,Van Horn,TX)
(Culpeper Regional,Culpeper,VA)
(Cumberland Municipal ,Cumberland,WI)
(Cumberland Regional,Cumberland,MD)
(Currituck County,Currituck,NC)
(Curtis ,Brady,TX)
(Curtis Municipal,Curtis,NE)
(Cushing Municipal,Cushing,OK)
(Custer County,Custer,SD)
(Cut Bank Muni,Cut Bank,MT)
(Cuthbert-Randolph,Cuthbert,GA)
(Cuyahoga County,Cleveland,OH)
(Cynthiana-Harrison County,Cynthiana,KY)
(Cyril E. King,Charlotte Amalie,VI)
(Dacy,Chicago/Harvard,IL)
(Dade Collier T And T,Miami,FL)
(Dahl Creek,Dahl Creek,AK)
(Dalhart Municipal,Dalhart,TX)
(Dallas Love ,Dallas,TX)
(Dallas-Fort Worth International,Dallas-Fort Worth,TX)
(Dalton Municipal,Dalton,GA)
(Danbury Municipal,Danbury,CT)
(Dane County Regional,Madison,WI)
(Daniel ,Augusta,GA)
(Danielson,Danielson,CT)
(Dansville Muni,Dansville,NY)
(Danville Regional,Danville,VA)
(Dare County Regional,Manteo,NC)
(Darke County,Versailles,OH)
(Darlington County,Darlington,SC)
(Dauphin Island,Dauphin Island,AL)
(Davenport,Davenport,WA)
(Davenport Municipal,Davenport,IA)
(David City Municipal,David City,NE)
(David G Joyce,Winnfield,LA)
(David J. Perry,Goldsby,OK)
(David Wayne Hooks Memorial,Houston,TX)
(Davidson County,Lexington,NC)
(Daviess County,Washington,IN)
(Davis ,Muskogee,OK)
(Dawson Community,Glendive,MT)
(Dawson Municipal,Dawson,GA)
(Dayton Wright Brothers,Dayton,OH)
(Daytona Beach International,Daytona Beach,FL)
(De Quincy Industrial Airpark,De Quincy,LA)
(De Soto Parish,Mansfield,LA)
(De Witt Municipal,De Witt,AR)
(Deadhorse,Deadhorse,AK)
(Dean Griffin Memorial,Wiggins,MS)
(Decatur,Decatur,IL)
(Decatur County Industrial Airpark,Bainbridge,GA)
(Decatur Municipal,Decatur,TX)
(Decorah Municipal,Decorah,IA)
(Deer Lodge-City-County,Deer Lodge,MT)
(Deer Park,Deer Park,WA)
(Deering,Deering,AK)
(Defiance Memorial,Defiance,OH)
(Defuniak Springs,Defuniak Springs,FL)
(Dekalb County,Auburn,IN)
(Dekalb-Peachtree,Atlanta,GA)
(Dekalb-Taylor Municipal,Dekalb,IL)
(Del Rio International,Del Rio,TX)
(Deland Municipal-Taylor ,Deland,FL)
(Delano Municipal,Delano,CA)
(Delaware Airpark,Dover,DE)
(Delaware County,Muncie,IN)
(Delaware Municipal,Delaware,OH)
(Delphi Municipal,Delphi,IN)
(Delta County,Escanaba,MI)
(Delta Municipal,Delta,UT)
(Deming Municipal,Deming,NM)
(Demopolis Municipal,Demopolis,AL)
(Denison Municipal,Denison,IA)
(Dennis F Cantrell ,Conway,AR)
(Denton Municipal,Denton,TX)
(Denver Intl,Denver,CO)
(Derby ,Lovelock,NV)
(Des Moines International,Des Moines,IA)
(Desert Resorts Regional,Palm Springs,CA)
(Destin-Ft. Walton Beach,Destin,FL)
(Detroit City,Detroit,MI)
(Detroit Lakes -Wething ,Detroit Lakes,MN)
(Detroit Metropolitan-Wayne County,Detroit,MI)
(Devils Lake Municipal-Knoke ,Devils Lake,ND)
(Devine Municipal,Devine,TX)
(Dewitt Field-Old Town Municipal,Old Town,ME)
(Dexter B. Florence Memorial ,Arkadelphia,AR)
(Dexter Municipal,Dexter,MO)
(Dexter Regional,Dexter,ME)
(Dickinson Municipal,Dickinson,ND)
(Dickson Municipal,Dickson,TN)
(Diego Jimenez Torres,Fajardo,PR)
(Dillant-Hopkins,Keene,NH)
(Dillingham,Dillingham,AK)
(Dillingham Airfield,Mokuleia,HI)
(Dillon,Dillon,MT)
(Dimmit County,Carrizo Springs,TX)
(Dimmitt Municipal,Dimmitt,TX)
(Dinsmore,Dinsmore,CA)
(Dinwiddie County,Petersburg,VA)
(Diomede Heliport,Diomede,AK)
(Dixon,Dixon,WY)
(Dixon Muni-Charles R Walgreen ,Dixon,IL)
(Dodge Center,Dodge Center,MN)
(Dodge City Regional,Dodge City,KS)
(Dodge County,Juneau,WI)
(Dona Ana County  At Santa Teresa,Santa Teresa,NM)
(Donaldson Center,Greenville,SC)
(Donalsonville Municipal,Donalsonville,GA)
(Door County Cherryland,Sturgeon Bay,WI)
(Dorothy Scott,Oroville,WA)
(Dothan ,Dothan,AL)
(Double Eagle II,Albuquerque,NM)
(Douglas Municipal,Douglas,GA)
(Dover Air Force Base,Dover,DE)
(Dover/Foxcroft,Dover-Foxcroft,ME)
(Dowagiac Municipal ,Dowagiac,MI)
(Downtown,Kansas City,MO)
(Downtown Ardmore,Ardmore,OK)
(Downtown Heliport,Dallas,TX)
(Downtown Manhattan/Wall St. Heliport,New York,NY)
(Doylestown,Doylestown,PA)
(Draughon-Miller Central Texas Regional,Temple,TX)
(Driggs-Reed Memorial,Driggs,ID)
(Drummond Island,Drummond Island,MI)
(Du Bois-Jefferson Cty,Du Bois,PA)
(Du Page,Chicago/West Chicago,IL)
(Duanesburg,Duanesburg,NY)
(Dubois Municipal,Dubois,WY)
(Dubuque Municipal,Dubuque,IA)
(Duchesne Municipal,Duchesne,UT)
(Duluth International,Duluth,MN)
(Dumas Municipal,Dumas,AR)
(Dunkirk Municipal,Dunkirk,NY)
(Dunnellon/Marion Co.,Dunellon,FL)
(Dunsmuir Municipal-Mott,Dunsmuir,CA)
(Dupont-Lapeer,Lapeer,MI)
(Durango-La Plata County,Durango,CO)
(Dutchess Cty,Poughkeepsie,NY)
(Dyersburg Municipal,Dyersburg,TN)
(E 34th St Heliport,New York,NY)
(Eagle,Eagle,AK)
(Eagle County Regional,Eagle,CO)
(Eagle Creek Airpark,Indianapolis,IN)
(Eagle Lake Municipal,Eagle Lake,TX)
(Eagle River Union,Eagle River,WI)
(Eaker ,Durant,OK)
(Early County,Blakely,GA)
(East Cooper,Mt Pleasant,SC)
(East Hampton,East Hampton,NY)
(East Troy Municipal,East Troy,WI)
(Eastern Iowa ,Cedar Rapids,IA)
(Eastern Oregon Regional At Pendleton,Pendleton,OR)
(Eastern Slopes Regional,Fryeburg,ME)
(Eastern Wv Reg/Shephard ,Martinsburg,WV)
(Easterwood ,College Station,TX)
(Eastland Municipal,Eastland,TX)
(Eastman-Dodge County,Eastman,GA)
(Easton /Newnam ,Easton,MD)
(Eastport Municipal,Eastport,ME)
(Ebensburg,Ebensburg,PA)
(Echo Bay,Overton,NV)
(Edenton Municipal,Edenton,NC)
(Edgar County,Paris,IL)
(Edgar G Obie,Chinook,MT)
(Edgecombe County,Tarboro,NC)
(Edgeley Municipal ,Edgeley,ND)
(Edgemont Municipal,Edgemont,SD)
(Edward F Knapp State,Barre-Montpelier,VT)
(Edward G. Pitka Sr.,Galena,AK)
(Eek,Eek,AK)
(Effingham County Memorial,Effingham,IL)
(Egegik,Egegik,AK)
(Eglin Air Force Base,Valparaiso,FL)
(Ekalaka,Ekalaka,MT)
(Ekwok,Ekwok,AK)
(El Monte,El Monte,CA)
(El Paso International,El Paso,TX)
(El Reno Municipal,El Reno,OK)
(Elbert County-Patz ,Elberton,GA)
(Elbow Lake Municipal,Elbow Lake,MN)
(Eldon Model Airpark,Eldon,MO)
(Elfin Cove SPB,Elfin Cove,AK)
(Elim,Elim,AK)
(Elizabeth ,Fishers Island,NY)
(Elizabeth City CG Air Station/Municipal,Elizabeth City,NC)
(Elizabethton Municipal,Elizabethton,TN)
(Elizabethtown,Elizabethtown,KY)
(Elizabethtown Municipal,Elizabethtown,NC)
(Elk City Municipal,Elk City,OK)
(Elkhart Municipal,Elkhart,IN)
(Elkhart-Morton County,Elkhart,KS)
(Elkin Municipal,Elkin,NC)
(Elkins-Randolph Co-Jennings Randolph,Elkins,WV)
(Elko Regional,Elko,NV)
(Ellendale Municipal,Ellendale,ND)
(Ellington ,Houston,TX)
(Ellington ,Lewisburg,TN)
(Ells Field-Willits Municipal,Willits,CA)
(Ellsworth AFB,NA,NA)
(Ellsworth Municipal ,Ellsworth,KS)
(Elmira/Corning Regional,Elmira,NY)
(Eloy Municipal,Eloy,AZ)
(Elton Hensley Memorial,Fulton,MO)
(Ely Arpt (Yelland ),Ely,NV)
(Ely Municipal,Ely,MN)
(Emanuel County,Swainsboro,GA)
(Emmetsburg Municipal,Emmetsburg,IA)
(Emmonak,Emmonak,AK)
(Emporia Municipal,Emporia,KS)
(Emporia-Greensville Regional,Emporia,VA)
(English Bay,English Bay,AK)
(Enid Woodring Municipal,Enid,OK)
(Ennis - Big Sky,Ennis,MT)
(Ennis Municipal,Ennis,TX)
(Enterprise Municipal,Enterprise,AL)
(Ephraim/Gibraltar,Ephraim,WI)
(Ephrata Muni,Ephrata,WA)
(Eppley Airfield,Omaha,NE)
(Erie Intl,Erie,PA)
(Ernest A. Love ,Prescott,AZ)
(Escalante Municipal,Escalante,UT)
(Esler Regional,Alexandria,LA)
(Essex Cty Arpt,Caldwell,NJ)
(Estherville Municipal,Estherville,IA)
(Eufaula Municipal,Eufaula,OK)
(Eugenio Maria De Hostos,Mayaguez,PR)
(Eunice,Eunice,LA)
(Eunice,Eunice,NM)
(Eupora Municipal,Eupora,MS)
(Eureka,Eureka,MT)
(Eureka,Eureka,NV)
(Eureka Municipal,Eureka,KS)
(Eureka Municipal,Eureka,SD)
(Evanston-Uinta County Burns ,Evanston,WY)
(Evansville Regional,Evansville,IN)
(Evart Municipal,Evart,MI)
(Eveleth-Virginia Muni,Eveleth,MN)
(Evelyn Sharp ,Ord,NE)
(Everett-Stewart,Union City,TN)
(Everglades,Everglades,FL)
(Excursion Inlet SPB,Excursion Inlet,AK)
(Executive,Orlando,FL)
(Fabens,Fabens,TX)
(Fair Haven,Fair Haven,VT)
(Fairbanks International,Fairbanks,AK)
(Fairbury Municipal,Fairbury,NE)
(Fairchild AFB,NA,NA)
(Fairfield County,Lancaster,OH)
(Fairfield County,Winnsboro,SC)
(Fairfield Municipal,Fairfield,IA)
(Fairfield Municipal,Fairfield,IL)
(Fairhope Municipal,Fairhope,AL)
(Fairmont Muni,Fairmont,WV)
(Fairmont Municipal,Fairmont,MN)
(Fairmont State,Fairmont,NE)
(Fairview Municipal,Fairview,OK)
(Faith Municipal,Faith,SD)
(Fajardo Harbor Seaplane Base,Fajardo,PR)
(Falcon ,Mesa,AZ)
(Fall River Mills,Fall River Mills,CA)
(Fallbrook Community Airpark,Fallbrook,CA)
(Fallon Municipal,Fallon,NV)
(Falls International,International Falls,MN)
(Falmouth Pendleton County,Falmouth,KY)
(False Pass,False Pass,AK)
(False River Air Park,New Roads,LA)
(Faribault Municipal,Faribault,MN)
(Farington ,Auburn,NE)
(Farmerville,Farmerville,LA)
(Farmington Regional,Farmington,MO)
(Farmville Municipal,Farmville,VA)
(Faulkton Municipal,Faulkton,SD)
(Fayette County,Somerville,TN)
(Fayette County,Washington Court House,OH)
(Fayette Regional Air Center,La Grange,TX)
(Fayetteville Municipal,Fayetteville,AR)
(Fayetteville Municipal,Fayetteville,NC)
(Fayetteville Municipal,Fayetteville,TN)
(Felts ,Spokane,WA)
(Fergus Falls Muni-Einar Mickelson,Fergus Falls,MN)
(Fernandina Beach Municipal,Fernandina Beach,FL)
(Fernando Luis Ribas Dominicci,San Juan,PR)
(Fillmore County,Preston,MN)
(Findlay,Findlay,OH)
(Finger Lakes Regional,Seneca Falls,NY)
(Firebaugh,Firebaugh,CA)
(First Flight,Kill Devil Hills,NC)
(Fitch H Beach,Charlotte,MI)
(Fitchburg Municipal,Fitchburg,MA)
(Fitiuta,Fitiuta Village,AS)
(Fitzgerald Municipal,Fitzgerald,GA)
(Flagler County,Bunnell,FL)
(Flagstaff Pulliam,Flagstaff,AZ)
(Flandreau Municipal,Flandreau,SD)
(Flat,Flat,AK)
(Fleming-Mason,Flemingsburg,KY)
(Fletcher ,Clarksdale,MS)
(Flora,Flora,IL)
(Florala Municipal,Florala,AL)
(Florence Muni,Florence,OR)
(Florence Regional,Florence,SC)
(Florida Keys Marathon,Marathon,FL)
(Floyd D. Bennett,Glens Falls,NY)
(Floyd W Jones Lebanon,Lebanon,MO)
(Floydada Municipal,Floydada,TX)
(Flying Cloud,Minneapolis,MN)
(Flying W,Lumbrerton,NJ)
(Foley Municipal,Foley,AL)
(Folsom ,Cullman,AL)
(Fond Du Lac County,Fond Du Lac,WI)
(Forbes ,Topeka,KS)
(Ford,Iron Mountain/Kingsford,MI)
(Fordyce Municipal,Fordyce,AR)
(Forest City Municipal,Forest City,IA)
(Forks,Forks,WA)
(Forney AAF,Fort Leonard Wood,MO)
(Forrest City Municipal,Forrest City,AR)
(Fort Atkinson Municipal,Fort Atkinson,WI)
(Fort Benton,Fort Benton,MT)
(Fort Bridger,Fort Bridger,WY)
(Fort Collins-Loveland ,Fort Collins/Loveland,CO)
(Fort Dodge Municipal,Fort Dodge,IA)
(Fort Lauderdale Executive,Ft. Lauderdale,FL)
(Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL)
(Fort Madison Municipal,Fort Madison,IA)
(Fort Morgan Municipal,Fort Morgan,CO)
(Fort Scott Municipal,Fort Scott,KS)
(Fort Smith Regional,Fort Smith,AR)
(Fort Stockton - Pecos County,Fort Stockton,TX)
(Fort Sumner Municipal,Fort Sumner,NM)
(Fort Wayne International,Fort Wayne,IN)
(Fort Worth Alliance,Fort Worth,TX)
(Fort Worth Meacham International,Fort Worth,TX)
(Fort Yukon,Fort Yukon,AK)
(Fosston Municipal,Fosston,MN)
(Fostoria Metropolitan,Fostoria,OH)
(Fountainhead Lodge Airpark,Eufaula,OK)
(Four Corners Regional,Farmington,NM)
(Francis Gabreski,Westhampton Beach,NY)
(Frank Federer Memorial,Brinkley,AR)
(Frank Wiley ,Miles City,MT)
(Frankfort,Chicago/Frankfort,IL)
(Frankfort Dow Memorial,Frankfort,MI)
(Frankfort Municipal,Frankfort,IN)
(Frankfort-Highland,Utica/Frankfort,NY)
(Franklin ,Franklin,CA)
(Franklin County,Canon,GA)
(Franklin County,Louisburg,NC)
(Franklin County,Mount Vernon,TX)
(Franklin County,Sewanee,TN)
(Franklin County State,Highgate,VT)
(Franklin Municipal-John Beverly Rose,Franklin,VA)
(Franklin-Wilkins,Lexington,TN)
(Frederick Municipal,Frederick,MD)
(Frederick Municipal,Frederick,OK)
(Freedom ,Medina,OH)
(Freehold,Freehold,NY)
(Freeman ,Junction City,KS)
(Freeman Municipal,Seymour,IN)
(Fremont County,Canon City,CO)
(Fremont Municipal,Fremont,MI)
(Fremont Municipal,Fremont,NE)
(French Lick Municipal,French Lick,IN)
(French Valley,Murieta/Temecula,CA)
(Fresno Yosemite International,Fresno,CA)
(Fresno-Chandler Downtown,Fresno,CA)
(Friday Harbor,Friday Harbor,WA)
(Friedman Memorial,Hailey,ID)
(Front Range,Denver,CO)
(Front Royal-Warren County,Front Royal,VA)
(Fullerton Municipal,Fullerton,CA)
(Fulton,Fulton,KY)
(Fulton County,Rochester,IN)
(Fulton County,Wauseon,OH)
(Fulton County - Brown ,Atlanta,GA)
(Fulton Cty,Johnstown,NY)
(Funter Bay SPB,Funter Bay,AK)
(Furnace Creek,Death Valley National Park,CA)
(G. V. Montgomery,Forest,MS)
(Gabbs,Gabbs,NV)
(Gadsden Municipal,Gadsden,AL)
(Gage,Gage,OK)
(Gaines County,Seminole,TX)
(Gainesville Municipal,Gainesville,TX)
(Gainesville Regional,Gainesville,FL)
(Galbraith Lake,Galbraith Lake,AK)
(Galesburg Municipal,Galesburg,IL)
(Galion Municipal,Galion,OH)
(Gallatin ,Bozeman,MT)
(Gallia - Meigs Regional,Gallipolis,OH)
(Gallup Municipal,Gallup,NM)
(Galt,Chicago/Greenwood/Wonderlake,IL)
(Galveston-Scholes ,Galveston,TX)
(Gambell,Gambell,AK)
(Ganado,Ganado,AZ)
(Gansner ,Quincy,CA)
(Garberville,Garberville,CA)
(Garden City Regional,Garden City,KS)
(Garden County,Oshkosh,NE)
(Gardiner,Gardiner,MT)
(Gardner Municipal,Gardner,MA)
(Garfield County Regional,Rifle,CO)
(Garland Heliport,Garland,TX)
(Garner ,Uvalde,TX)
(Garnett Municipal,Garnett,KS)
(Garrett County,Oakland,MD)
(Garrison Municipal,Garrison,ND)
(Gary/Chicago ,Gary,IN)
(Gastonia Municipal,Gastonia,NC)
(Gatesville - City/County,Gatesville,TX)
(Gatlinburg-Pigeon Forge,Sevierville,TN)
(Geauga County,Middlefield,OH)
(Gen Edw L Logan Intl,Boston,MA)
(General Dewitt Spain,Memphis,TN)
(General Mitchell International,Milwaukee,WI)
(General Wm. J. Fox Airfield,Lancaster,CA)
(Genesee Cty,Batavia,NY)
(Geneva Municipal,Geneva,AL)
(George Bush Intercontinental,Houston,TX)
(George Downer ,Aliceville,AL)
(George L Scott Municipal,West Union,IA)
(George M Bryan ,Starkville,MS)
(George R Carr Memorial,Bogalusa,LA)
(George T Lewis,Cedar Key,FL)
(Georgetown,Georgetown,CA)
(Georgetown County,Georgetown,SC)
(Georgetown Municipal,Georgetown,TX)
(Georgetown-Scott County,Georgetown,KY)
(Geraldine,Geraldine,MT)
(Gettysburg  & Travel Center,Gettysburg,PA)
(Gettysburg Municipal,Gettysburg,SD)
(Gibson City Municipal,Gibson City,IL)
(Gibson County,Trenton,TN)
(Giddings-Lee County,Giddings,TX)
(Gila Bend Municipal,Gila Bend,AZ)
(Gillespie ,San Diego (El Cajon),CA)
(Gillespie County,Fredericksburg,TX)
(Gillette-Campbell County,Gillette,WY)
(Gilmer County,Ellijay,GA)
(Gilmer-Upshur County,Gilmer,TX)
(Girdwood,Girdwood,AK)
(Glacier Park Intl,Kalispell,MT)
(Gladewater Municipal,Gladewater,TX)
(Gladwin,Gladwin,MI)
(Glasgow Municipal,Glasgow,KY)
(Glen Ullin Municipal,Glen Ullin,ND)
(Glendale Municipal,Glendale,AZ)
(Glenwood Municipal ,Glenwood,MN)
(Glenwood-Catron County,Glenwood,NM)
(Glynco Jetport,Brunswick,GA)
(Gnoss ,Novato,CA)
(Gogebic County,Ironwood,MI)
(Gold Beach Muni,Gold Beach,OR)
(Golden Triangle Regional,Columbus-Starkville-West Point,MS)
(Goldfield,Goldfield,NV)
(Goldsboro-Wayne Municipal,Goldsboro,NC)
(Gooding Municipal,Gooding,ID)
(Goodnews,Goodnews,AK)
(Goose Bay,Goose Bay,AK)
(Gordon Municipal,Gordon,NE)
(Goshen Municipal,Goshen,IN)
(Gould Peterson Municipal,Tarkio,MO)
(Grafton Municipal,Grafton,ND)
(Gragg-Wade ,Clanton,AL)
(Graham Municipal,Graham,TX)
(Granbury Municipal,Granbury,TX)
(Granby-Grand County,Granby,CO)
(Grand Canyon National Park,Grand Canyon,AZ)
(Grand Canyon State,Wellsboro,PA)
(Grand Canyon West,Peach Springs,AZ)
(Grand Coulee Dam,Electric City,WA)
(Grand Forks AFB,NA,NA)
(Grand Forks International,Grand Forks,ND)
(Grand Haven Memorial Airpark,Grand Haven,MI)
(Grand Lake Regional,Afton,OK)
(Grand Marais/Cook County,Grand Marais,MN)
(Grand Prairie Municipal,Grand Prairie,TX)
(Grand Rapids-Itasca County,Grand Rapids,MN)
